"X1.1","X1.2","X1.3","X1a.1","X1a.2","X1a.3","X1b.1","X1b.2","X1b.3","X2.1","X2.2","X2.3","X2a.1","X2a.2","X2a.3","X2b.1","X2b.2","X2b.3","NoAct.1","NoAct.2","NoAct.3"
-0.096749489345786,-0.0970951251907466,-0.0942363382019204,-0.0967027659994961,-0.0967027659994961,-0.0942384022314624,-0.0998472351714229,-0.127321978521179,-0.0939287495426312,-0.0960273340462064,-0.097984071866359,-0.0942406535396083,-0.0967027659994961,-0.0967027659994961,-0.0941055999125884,-0.0968648320484505,-0.095739755089356,-0.0969201538187856,-0.0967027659994961,-0.0967027659994961,-0.0942537108887967
-0.0979894117019746,-0.0982083985564759,-0.0953186918687207,-0.0979596155342261,-0.0979596155342261,-0.0953208962933094,-0.0996239443671811,-0.117842314822687,-0.0949902862149611,-0.0964612978327759,-0.0987726545239846,-0.0953233007458996,-0.0979596155342261,-0.0979596155342261,-0.0951790799476704,-0.0980629772089077,-0.0963568591539237,-0.0963059330485913,-0.0979596155342261,-0.0979596155342261,-0.0953372465374233
-0.0449345684219238,-0.0994563741042188,-0.0964759598253272,-0.0993105866714816,-0.0993105866714816,-0.0964783194737716,0.0619442320092196,-0.111118325394759,-0.0961245498617477,-0.0606934611229642,-0.0997872563436673,-0.096480893247405,-0.0993105866714816,-0.0993105866714816,-0.0963265391116509,0.0615810917525821,-0.0971862656375772,-0.096262160367114,-0.0993105866714816,-0.0993105866714816,-0.0964958213512934
-0.114188880593849,-0.100854543020306,-0.0977161994506651,-0.100766664791026,-0.100766664791026,-0.097718731316313,-0.145251130838002,-0.107922181105743,-0.0973392802978018,-0.107074656731239,-0.101054083780674,-0.0977214929490409,-0.100766664791026,-0.100766664791026,-0.0975558985946373,-0.145573274481552,-0.0982505137179972,-0.0963537157177208,-0.100766664791026,-0.100766664791026,-0.0977375109420775
-0.111185141496098,-0.102386788080634,-0.0990486667055769,-0.102340614258272,-0.102340614258272,-0.0990513903562178,-0.131506829151427,-0.106083857066447,-0.0986433561169348,-0.105369049820299,-0.102491673686656,-0.0990543611947684,-0.102340614258272,-0.102340614258272,-0.0988762524401755,-0.132660041361775,-0.0994633071268473,-0.0968620266888418,-0.102340614258272,-0.102340614258272,-0.0990715929570779
-0.109538327935416,0.0611653144042746,-0.100484047640022,-0.104047353788162,0.0612929161212093,-0.100486985724602,-0.121397289324957,0.0524299549311771,-0.100047012155754,-0.10461695812112,0.0618022012605599,-0.100490190477247,-0.104047353788162,0.0688247531248767,-0.100298092990724,-0.123207273755711,0.0588300702774913,-0.0974343429681207,-0.104047353788162,0.0612775095444408,-0.100508779402397
-0.109508595547246,-0.151286354630476,-0.102034745722907,-0.105904431054118,-0.151323772648949,-0.102037924602832,-0.116135011068158,-0.148715602801343,-0.101562108775909,-0.104957811605392,-0.151506002056586,-0.102041392028197,-0.105904431054118,-0.15382105769237,-0.101833590421466,-0.118628212778011,-0.146482405170762,-0.0983958924438886,-0.105904431054118,-0.151318709656044,-0.102061505022871
-0.110177777253455,-0.136899256920619,-0.103715241358192,-0.107932628572316,-0.13869210622915,-0.103718691900483,-0.112924168372554,-0.0180510941276435,-0.103202467968192,-0.105793232870166,-0.133083392205075,-0.103722455672962,-0.107932628572316,-0.140452673759313,-0.103496942134851,-0.115921477978664,-0.128094001464763,-0.0994249653752744,-0.107932628572316,-0.13868854446318,-0.103744288182461
-0.0167995059467608,-0.12982752501685,-0.105542545673444,-0.11015674527922,-0.129518622826136,-0.105546304256308,-0.0255587595366949,-0.144904950805238,-0.104984296461564,-0.0277671814638324,-0.130662965651042,-0.105550404063286,-0.11015674527922,-0.130656575015894,-0.105304813273953,-0.0249452798151345,-0.115618976083925,-0.100890130106704,-0.0137720518423102,-0.129516324000682,-0.105574186443518
-0.136759628280097,-0.125556329594854,0.0184062658005747,-0.112606616272674,-0.125372032617711,-0.107540888544573,-0.132562035971274,-0.141173656516456,0.0656029957947147,-0.128370085305371,-0.126065404901633,-0.10754537149125,-0.112606616272674,-0.126135159716997,-0.107276897342779,-0.137390612333492,-0.123321630780228,-0.101282793507835,-0.136496850932461,-0.125370492459993,-0.10757137716778
-0.131085799878379,-0.123258054620328,-0.142372888708952,-0.115318459937054,-0.123171464620826,-0.10972642663772,-0.12588000062818,-0.131013160915344,-0.156390852179131,-0.123670961041169,-0.123511446345661,-0.109731349065112,-0.115318459937054,-0.123646080132307,-0.109436636965174,-0.130801300508293,-0.119799913375033,-0.104468233588103,-0.131182959297415,-0.123170507336546,-0.109759905092656
-0.127728601711769,-0.123327337572808,-0.133985360435566,-0.118336682041968,-0.123303554682403,-0.112131724985622,-0.121623049326147,-0.12585558047084,-0.143482873480072,-0.120945130575009,-0.123417829285472,-0.112137154850783,-0.118336682041968,-0.123605787012651,-0.111812160828225,-0.126720532838656,-0.118755979311448,-0.106242526381576,-0.128110660211837,-0.123302945326691,-0.112168655739578
-0.127262572373887,-0.124174109428586,-0.128376987555472,-0.121716328559976,-0.124198595739401,-0.114791692399681,-0.11990624636564,-0.122733776043389,-0.134110548160894,-0.120620175272706,-0.124137186256848,-0.11479771243205,-0.121716328559976,-0.124350238682581,-0.114437516458656,-0.125344445333676,-0.118686030612655,-0.108216493585408,-0.12800016928373,-0.124198290068981,-0.114832638484333
-0.128172385313445,-0.125661906162783,0.0214693440598581,-0.125526476794687,-0.125720400124532,0.0627957160754118,-0.119621857753832,-0.121418991217456,0.00807883755669594,-0.121408001268671,-0.125531170873205,0.0342000002150779,-0.125526476794687,-0.125732263827416,0.0603977298744543,-0.12550725476887,-0.119282652730891,0.02778150976001,-0.129204410858053,-0.125720376212533,-0.11779470068403
-0.130578821663508,-0.12816301504717,-0.162821765379766,-0.129855012277461,-0.128252094458551,-0.16884779925788,-0.0854223132232384,-0.121487461338799,-0.161221446946462,-0.123398167408458,-0.127949877077756,-0.159981038612472,-0.129855012277461,-0.128154105567413,-0.167599092541717,-0.0172569293810678,-0.120854931400297,-0.148858109910253,-0.131977162138175,-0.128252291969518,-0.121107851886721
-0.133848759676162,0.0416868992358201,-0.152617410591346,-0.134815500699687,0.0417772803600438,-0.157061092339088,-0.130158304294913,0.0360641810643337,-0.150992875828291,-0.126040495310114,0.0423751033668515,-0.150877656732148,-0.134815500699687,0.0490132895160842,-0.156001675817402,-0.15532472027444,0.0423000434342535,-0.139729977484029,-0.13555716006516,0.0417624140885616,-0.124838467513797
0.0411279264589943,-0.178075202217181,-0.14555106273998,0.0472668060786292,-0.178261010809305,-0.1488522861443,0.0339689920988279,-0.164181934735028,-0.143769207719565,0.0430750616019451,-0.177882263882394,-0.144973867624382,0.0554193454865538,-0.180111427715896,-0.14794841189079,0.0164157447994868,-0.167857477215306,-0.133587377230466,0.0418217014678595,-0.178257238113153,-0.129070786558507
