"RIGHT","LEFT","SCUTE.REMOVED","PIT.TAG/CWT/FLOY","STOCKING.LOCATION","HATCHERY","FEMALE","MALE","STOCK.DATE","SPAWN.DATE","YEAR.CLASS","NUMBERS.STOCKED","AGE.AT.STOCKING","YEARLING.EQUIVALENTS","RPMA"
NA,NA,"4th Left","PIT Tag/Radio","Culbertson","Garrison","Mix","Mix",2008-07-30,2007-06-27,2007,50,"Yearling",50,2
NA,NA,"4th Left","PIT Tag/Radio","Huntley","Garrison","Mix","Mix",2008-07-30,2007-06-27,2007,50,"Yearling",50,2
NA,NA,"4th Left","PIT Tag/Radio","School Trust Ramp","Garrison","Mix","Mix",2008-07-17,2007-06-27,2007,50,"Yearling",50,2
NA,NA,"4th Left","PIT Tag/Radio","School Trust Ramp","Garrison","Mix","Mix",2008-07-30,2007-06-27,2007,50,"Yearling",50,2
NA,NA,"4th Left","PIT Tag/Radio","Two Leggins","Garrison","Mix","Mix",2008-07-30,2007-06-27,2007,50,"Yearling",50,2
NA,NA,"4th Left","PIT Tag/Radio","Wolf Point","Garrison","Mix","Mix",2008-07-17,2007-06-27,2007,50,"Yearling",50,2
NA,NA,NA,NA,"Grand Champs","Garrison","470A675627","115626162A",2008-07-30,2008-06-26,2008,24395,"Fry",6,2
NA,NA,NA,NA,"Intake","Miles City","Mix","Mix",2008-07-31,2007-06-27,2007,5,"Yearling",5,2
NA,NA,NA,NA,"Miles City","Garrison","1F497F1801","7F7D2D723D",2008-07-30,2008-06-26,2008,1823,"Fry",1,2
NA,NA,NA,NA,"Miles City","Garrison","470A675627","7F7E55466D",2008-07-30,2008-06-26,2008,2974,"Fry",1,2
"Purple","H-Orange",NA,NA,"Culbertson","Gavins Point","470A675627","115626162A",2008-09-14,2008-06-26,2008,1000,"Fingerling",250,2
"Purple","H-Orange",NA,NA,"Culbertson","Gavins Point","1F497F1801","115712453A",2008-09-14,2008-06-26,2008,1270,"Fingerling",318,2
"Purple","H-Orange",NA,NA,"Culbertson","Gavins Point","1F497F1801","1F4849755B",2008-09-14,2008-06-26,2008,659,"Fingerling",165,2
"Purple","H-Orange",NA,NA,"Culbertson","Gavins Point","115559532A","1F4A13592B",2008-09-14,2008-06-26,2008,759,"Fingerling",190,2
"Purple","H-Orange",NA,NA,"Culbertson","Gavins Point","1F497F1801","7F7D2D723D",2008-09-14,2008-06-26,2008,210,"Fingerling",53,2
"Purple","H-Orange",NA,NA,"Culbertson","Gavins Point","470A675627","7F7F066471",2008-09-14,2008-06-26,2008,1200,"Fingerling",300,2
