"Date","No.Act","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b"
1930-11-08,5900,5900,5900,5300,5900,5900,4300
1930-11-09,5900,5900,5900,5300,5900,5900,4300
1930-11-10,5900,5900,5900,5300,5900,5900,4300
1930-11-11,5900,5900,5900,5300,5900,5900,4300
1930-11-12,5900,5900,5900,5300,5900,5900,4300
1930-11-13,5900,5900,5900,5300,5900,5900,4300
1930-11-14,5700,5700,5700,5100,5700,5700,4200
1930-11-15,5700,5700,5700,5100,5700,5700,4200
1930-11-16,5700,5700,5700,5100,5700,5700,4200
1930-11-17,5700,5700,5700,5100,5700,5700,4200
1930-11-18,5700,5700,5700,5100,5700,5700,4200
1930-11-19,5700,5700,5700,5100,5700,5700,4200
1930-11-20,5700,5700,5700,5100,5700,5700,4200
1930-11-21,5700,5700,5700,5100,5700,5700,4200
1930-11-22,5700,5700,5700,5100,5700,5700,4200
1930-11-23,5700,5700,5700,5100,5700,5700,4200
1930-11-24,5700,5700,5700,5100,5700,5700,4200
1930-11-25,5700,5700,5700,5100,5700,5700,4200
1930-11-26,5700,5700,5700,5100,5700,5700,4200
1930-11-27,5700,5700,5700,5100,5700,5700,4200
1930-11-28,5700,5700,5700,5100,5700,5700,4200
1930-11-29,5700,5700,5700,5100,5700,5700,4200
1930-11-30,7300,7300,7300,6700,7300,7300,6500
1930-12-01,7300,7300,7300,6700,7300,7300,6500
1930-12-02,7300,7300,7300,6700,7300,7300,6500
1930-12-03,7300,7300,7300,6700,7300,7300,6500
1930-12-04,7300,7300,7300,6700,7300,7300,6500
1930-12-05,7300,7300,7300,6700,7300,7300,6500
1930-12-06,7300,7300,7300,6700,7300,7300,6500
1930-12-07,7300,7300,7300,6700,7300,7300,6500
1930-12-08,7300,7300,7300,6700,7300,7300,6500
1930-12-09,7300,7300,7300,6700,7300,7300,6500
1930-12-10,7300,7300,7300,6700,7300,7300,6500
1930-12-11,7300,7300,7300,6700,7300,7300,6500
1930-12-12,7300,7300,7300,6700,7300,7300,6500
1930-12-13,7300,7300,7300,6700,7300,7300,6500
1930-12-14,7400,7400,7400,6800,7400,7400,6500
1930-12-15,7400,7400,7400,6800,7400,7400,6500
1930-12-16,7400,7400,7400,6800,7400,7400,6500
1930-12-17,7400,7400,7400,6800,7400,7400,6500
1930-12-18,7400,7400,7400,6800,7400,7400,6500
1930-12-19,7400,7400,7400,6800,7400,7400,6500
1930-12-20,7400,7400,7400,6800,7400,7400,6500
1930-12-21,7400,7400,7400,6800,7400,7400,6500
1930-12-22,7400,7400,7400,6800,7400,7400,6500
1930-12-23,7400,7400,7400,6800,7400,7400,6500
1930-12-24,7400,7400,7400,6800,7400,7400,6500
1930-12-25,7400,7400,7400,6800,7400,7400,6500
1930-12-26,7400,7400,7400,6800,7400,7400,6500
1930-12-27,7400,7400,7400,6800,7400,7400,6500
1930-12-28,7400,7400,7400,6800,7400,7400,6500
1930-12-29,7400,7400,7400,6800,7400,7400,6500
1930-12-30,7400,7400,7400,6800,7400,7400,6500
1930-12-31,6800,6800,6800,6500,6800,6800,6400
1931-01-01,6800,6800,6800,6500,6800,6800,6400
1931-01-02,6800,6800,6800,6500,6800,6800,6400
1931-01-03,6800,6800,6800,6500,6800,6800,6400
1931-01-04,6800,6800,6800,6500,6800,6800,6400
1931-01-05,6800,6800,6800,6500,6800,6800,6400
1931-01-06,6800,6800,6800,6500,6800,6800,6400
1931-01-07,6800,6800,6800,6500,6800,6800,6400
1931-01-08,6800,6800,6800,6500,6800,6800,6400
1931-01-09,6800,6800,6800,6500,6800,6800,6400
1931-01-10,6800,6800,6800,6500,6800,6800,6400
1931-01-11,6800,6800,6800,6500,6800,6800,6400
1931-01-12,6800,6800,6800,6500,6800,6800,6400
1931-01-13,6800,6800,6800,6500,6800,6800,6400
1931-01-14,6800,6800,6800,6500,6800,6800,6400
1931-01-15,6800,6800,6800,6500,6800,6800,6400
1931-01-16,6800,6800,6800,6500,6800,6800,6400
1931-01-17,6800,6800,6800,6500,6800,6800,6400
1931-01-18,6800,6800,6800,6500,6800,6800,6400
1931-01-19,6800,6800,6800,6500,6800,6800,6400
1931-01-20,6800,6800,6800,6500,6800,6800,6400
1931-01-21,6800,6800,6800,6500,6800,6800,6400
1931-01-22,6800,6800,6800,6500,6800,6800,6400
1931-01-23,6800,6800,6800,6500,6800,6800,6400
1931-01-24,6800,6800,6800,6500,6800,6800,6400
1931-01-25,6800,6800,6800,6500,6800,6800,6400
1931-01-26,6800,6800,6800,6500,6800,6800,6400
1931-01-27,6800,6800,6800,6500,6800,6800,6400
1931-01-28,6800,6800,6800,6500,6800,6800,6400
1931-01-29,6800,6800,6800,6500,6800,6800,6400
1931-01-30,6800,6800,6800,6500,6800,6800,6400
1931-01-31,6800,6800,6800,6500,6800,6800,6400
1931-02-01,6800,6800,6800,6500,6800,6800,6400
1931-02-02,6800,6800,6800,6500,6800,6800,6400
1931-02-03,6800,6800,6800,6500,6800,6800,6400
1931-02-04,6800,6800,6800,6500,6800,6800,6400
1931-02-05,6800,6800,6800,6500,6800,6800,6400
1931-02-06,6800,6800,6800,6500,6800,6800,6400
1931-02-07,6800,6800,6800,6500,6800,6800,6400
1931-02-08,6800,6800,6800,6500,6800,6800,6400
1931-02-09,6800,6800,6800,6500,6800,6800,6400
1931-02-10,6800,6800,6800,6500,6800,6800,6400
1931-02-11,6800,6800,6800,6500,6800,6800,6400
1931-02-12,6800,6800,6800,6500,6800,6800,6400
1931-02-13,6800,6800,6800,6500,6800,6800,6400
1931-02-14,6800,6800,6800,6500,6800,6800,6400
1931-02-15,6800,6800,6800,6500,6800,6800,6400
1931-02-16,6800,6800,6800,6500,6800,6800,6400
1931-02-17,6800,6800,6800,6500,6800,6800,6400
1931-02-18,6800,6800,6800,6500,6800,6800,6400
1931-02-19,6800,6800,6800,6500,6800,6800,6400
1931-02-20,6800,6800,6800,6500,6800,6800,6400
1931-02-21,6800,6800,6800,6500,6800,6800,6400
1931-02-22,6800,6800,6800,6500,6800,6800,6400
1931-02-23,6800,6800,6800,6500,6800,6800,6400
1931-02-24,6800,6800,6800,6500,6800,6800,6400
1931-02-25,6800,6800,6800,6500,6800,6800,6400
1931-02-26,6800,6800,6800,6500,6800,6800,6400
1931-02-27,6800,6800,6800,6500,6800,6800,6400
1931-02-28,6100,6100,6100,6000,6100,6100,5900
1931-03-01,6100,6100,6100,6000,6100,6100,5900
1931-03-02,6100,6100,6100,6000,6100,6100,5900
1931-03-03,6100,6100,6100,6000,6100,6100,5900
1931-03-04,6100,6100,6100,6000,6100,6100,5900
1931-03-05,6100,6100,6100,6000,6100,6100,5900
1931-03-06,6100,6100,6100,6000,6100,6100,5900
1931-03-07,6100,6100,6100,6000,6100,6100,5900
1931-03-08,6100,6100,6100,6000,6100,6100,5900
1931-03-09,6100,6100,6100,6000,6100,6100,5900
1931-03-10,6100,6100,6100,6000,6100,6100,5900
1931-03-11,6100,6100,6100,6000,6100,6100,5900
1931-03-12,6100,6100,6100,6000,6100,6100,5900
1931-03-13,6100,6100,6100,6000,6100,6100,5900
1931-03-14,6100,6100,6100,6000,6100,6100,5900
1931-03-15,6100,6100,6100,6000,6100,6100,5900
1931-03-16,6100,6100,6100,6000,6100,6100,5900
1931-03-17,6100,6100,6100,6000,6100,6100,5900
1931-03-18,6100,6100,6100,6000,6100,6100,5900
1931-03-19,6100,6100,6100,6000,6100,6100,5900
1931-03-20,6100,6100,6100,6000,6100,6100,5900
1931-03-21,6100,6100,6100,6000,6100,6100,5900
1931-03-22,6100,6100,6100,6000,6100,6100,5900
1931-03-23,6100,6100,6100,6000,6100,6100,5900
1931-03-24,6100,6100,6100,6000,6100,6100,5900
1931-03-25,6100,6100,6100,6000,6100,6100,5900
1931-03-26,6100,6100,6100,6000,6100,6100,5900
1931-03-27,6100,6100,6100,6000,6100,6100,5900
1931-03-28,6100,6100,6100,6000,6100,6100,5900
1931-03-29,6100,6100,6100,6000,6100,6100,5900
1931-03-30,6100,6100,6100,6000,6100,6100,5900
1931-03-31,6100,6100,6100,6100,6100,6100,6000
1931-04-01,6100,6100,6100,6100,6100,6100,6000
1931-04-02,6100,6100,6100,6100,6100,6100,6000
1931-04-03,6100,6100,6100,6100,6100,6100,6000
1931-04-04,6100,6100,6100,6100,6100,6100,6000
1931-04-05,6100,6100,6100,6100,6100,6100,6000
1931-04-06,6100,6100,6100,6100,6100,6100,6000
1931-04-07,6100,6100,6100,6100,6100,6100,6000
1931-04-08,6100,6100,6100,6100,6100,6100,6000
1931-04-09,6100,6100,6100,6100,6100,6100,6000
1931-04-10,6100,6100,6100,6100,6100,6100,6000
1931-04-11,6100,6100,6100,6100,6100,6100,6000
1931-04-12,6100,6100,6100,6100,6100,6100,6000
1931-04-13,6100,6100,6100,6100,6100,6100,6000
1931-04-14,6100,6100,6100,6000,6100,6100,6000
1931-04-15,6100,6100,6100,6000,6100,6100,6000
1931-04-16,6100,6100,6100,6000,6100,6100,6000
1931-04-17,6100,6100,6100,6000,6100,6100,6000
1931-04-18,6100,6100,6100,6000,6100,6100,6000
1931-04-19,6100,6100,6100,6000,6100,6100,6000
1931-04-20,6100,6100,6100,6000,6100,6100,6000
1931-04-21,6100,6100,6100,6000,6100,6100,6000
1931-04-22,6100,6100,6100,6000,6100,6100,6000
1931-04-23,6100,6100,6100,6000,6100,6100,6000
1931-04-24,6100,6100,6100,6000,6100,6100,6000
