"Alt","Year","Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
"2",1980,1980-06-14,0.0960880299004787,0.0165624136028479,NA,NA
"2",1980,1980-06-21,0.729708329748852,0.269305566997637,NA,NA
"2",1983,1983-06-14,0.0185521226444973,0.00420789560796708,NA,NA
"2",1983,1983-06-21,0.470821721759911,0.159824918926971,NA,NA
"2",1983,1983-06-22,0.99700700622583,0.918233484683552,0.813629089276525,NA
"2",1985,1985-06-14,0.00245149549062127,0.000948576055371001,NA,NA
"2",1985,1985-06-21,0.173446970195086,0.0192977932438713,NA,NA
"2",1985,1985-06-22,0.945295199390563,0.608719203364163,0.359793382514487,NA
"2",1986,1986-06-07,0.0518051968656088,0.0108089597788151,NA,NA
"2",1986,1986-06-14,0.999999999995531,0.9999999837931,0.999661701074406,0.973412139250738
"2",1986,1986-06-16,0.999999999999998,0.999999999854986,0.9999322374033,0.986443738817249
"2",1987,1987-06-07,0.226299408209382,0.118347922935486,NA,NA
"2",1987,1987-06-10,0.634438122726147,0.380601505217731,NA,NA
"2",1987,1987-06-17,0.781939393776536,0.538764087389157,0.14686867884381,NA
"2",1987,1987-06-21,0.975142062691244,0.876014322626267,0.801200753308174,0.48948446453889
"2",1997,1997-07-05,0.893204544037343,0.739682129531528,0.539770064603239,0.0545536363581516
"2",1997,1997-07-15,0.999802380379952,0.994461715085752,0.944666160630431,0.755551808633663
"2",2000,2000-06-21,0.999980859177427,0.985164112200006,0.812790039388149,NA
"2",2011,2011-06-25,0.000426752394069128,7.78194555470961e-05,NA,NA
"2",2011,2011-07-02,0.00435536345209849,0.000833659130600559,NA,NA
"2",2011,2011-07-03,0.0130657413314442,0.00230628542501921,NA,NA
"2",2012,2012-06-21,0.985477190341543,0.790088314703589,0.243817253167035,NA
"2a",1975,1975-07-02,0.292307467566003,0.0716368047636492,NA,NA
"2a",1975,1975-07-09,0.123526448363557,0.0323930054555024,NA,NA
"2a",1975,1975-07-16,0.342959058800302,0.163718422103526,NA,NA
"2a",1987,1987-06-07,0.249110200455679,0.151615517608985,NA,NA
"2a",1987,1987-06-14,0.916661000994954,0.758606926082371,0.806097751842525,0.514354142748398
"2a",1987,1987-06-15,0.966201119517178,0.875042734473201,0.920763563508196,0.742956335086322
"2a",1997,1997-07-05,0.912691377379356,0.770276043719608,0.630257836291006,0.173832894008817
"2a",1997,1997-07-12,0.963707066063387,0.862452214782863,0.709550128140498,0.294007531002534
"2a",2000,2000-06-21,0.72188037903485,0.219481172168499,NA,NA
"2a",2011,2011-06-25,0.000494766442834826,8.77134576226947e-05,NA,NA
"2a",2011,2011-07-02,0.00391160994436775,0.00074504088875588,NA,NA
"2a",2011,2011-07-03,0.00610094296670694,0.00114865279687339,NA,NA
"2b",1930,1930-06-17,0.0127061337446774,0.00671595766042551,NA,NA
"2b",1930,1930-06-21,0.05064784880767,0.0223089884993619,NA,NA
"2b",1930,1930-06-24,0.128745896026004,0.0556732042263409,NA,NA
"2b",1949,1949-06-16,0.0228040853854725,0.00625685915609146,NA,NA
"2b",1949,1949-06-21,0.996744263420337,0.925044984586821,0.679235703317276,NA
"2b",1949,1949-06-23,0.999982903558617,0.994974586471334,0.908226267806735,NA
"2b",1966,1966-06-21,0.00405557173219774,0.00240881644878647,NA,NA
"2b",1966,1966-06-25,0.0188006850862869,0.00958859683763371,NA,NA
"2b",1966,1966-07-02,0.96322220662595,0.744383276966702,0.432363611529893,NA
"2b",1966,1966-07-03,0.999186255861302,0.95925212849428,0.871961884675402,0.245236223381735
"2b",1975,1975-07-02,0.164506625867894,0.0312278713833806,NA,NA
"2b",1975,1975-07-09,0.116032300825114,0.0298762611094123,NA,NA
"2b",1975,1975-07-16,0.317147084733045,0.147539624922116,NA,NA
"2b",1976,1976-07-15,0.590813737998579,0.331787957181824,NA,NA
"2b",1980,1980-06-18,0.00866623560012236,0.00107686669545774,NA,NA
"2b",1980,1980-06-21,0.0120061655514348,0.00171223387883236,NA,NA
"2b",1980,1980-06-25,0.0522800652136293,0.00741198806433656,NA,NA
"2b",1980,1980-07-16,0.90175162000826,0.558457595105725,NA,NA
"2b",1982,1982-06-21,0.985433893364713,0.783873322147113,0.529804332940238,NA
"2b",1983,1983-06-18,0.0190663937872129,0.00866273191600055,NA,NA
"2b",1983,1983-06-21,0.104396637580307,0.0473546301844583,NA,NA
"2b",1983,1983-06-25,0.701857546644564,0.419897214055012,0.231883224742257,NA
"2b",1985,1985-06-18,0.00145168640511718,0.000646980165098605,NA,NA
"2b",1985,1985-06-21,0.0024571063233827,0.00130632438485924,NA,NA
"2b",1985,1985-06-25,0.0110815444378592,0.00460917354623713,NA,NA
"2b",1986,1986-06-07,0.0215754833383138,0.0063447336952938,NA,NA
"2b",1986,1986-06-14,0.999988606346023,0.99802969565301,0.973314957287143,0.696461992041751
"2b",1986,1986-06-17,0.999980499934785,0.996791241851093,0.980717976524292,0.784326241666998
"2b",1987,1987-06-18,0.188495126040535,0.102791177931657,NA,NA
"2b",1987,1987-06-21,0.405263801032229,0.252399764341443,NA,NA
"2b",1987,1987-06-25,0.59699466267837,0.426502758366084,0.257830175884286,0.0685056745685259
"2b",1997,1997-07-05,0.911671953997024,0.770093712928647,0.628159736451651,0.180034978572372
"2b",2000,2000-06-14,0.000508107186263818,0.000144196827250565,NA,NA
"2b",2000,2000-06-21,0.691136627150437,0.190858699348569,NA,NA
"2b",2011,2011-06-25,0.000478305129294882,8.43307143732863e-05,NA,NA
"2b",2011,2011-07-02,0.00376356766031773,0.00071129776706596,NA,NA
"2b",2011,2011-07-03,0.00587680415949265,0.00109795165445009,NA,NA
"2b",2012,2012-06-21,0.981534378625101,0.753024371961374,0.187655013721727,NA
"NA",1966,1966-06-21,0.00853828466190433,0.00422873595355286,NA,NA
