"Year","Flow_Scenario","Max_Flows","Post_Peak_Date","Post_Peak_Flows","Low_Date","Median_Date","High_Date"
1976,"No.Act",18700,"1976-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1976,"Alt1",18700,"1976-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1976,"Alt.1a",NA,NA,NA,NA,NA,NA
1976,"Alt.1b",18700,"1976-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1976,"Alt.2",18700,"1976-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1976,"Alt.2a",NA,NA,NA,NA,NA,NA
1976,"Alt.2b",18700,"1976-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1977,"No.Act",NA,NA,NA,NA,NA,NA
1977,"Alt1",NA,NA,NA,NA,NA,NA
1977,"Alt.1a",NA,NA,NA,NA,NA,NA
1977,"Alt.1b",NA,NA,NA,NA,NA,NA
1977,"Alt.2",NA,NA,NA,NA,NA,NA
1977,"Alt.2a",NA,NA,NA,NA,NA,NA
1977,"Alt.2b",NA,NA,NA,NA,NA,NA
1978,"No.Act",NA,NA,NA,NA,NA,NA
1978,"Alt1",NA,NA,NA,NA,NA,NA
1978,"Alt.1a",NA,NA,NA,NA,NA,NA
1978,"Alt.1b",NA,NA,NA,NA,NA,NA
1978,"Alt.2",NA,NA,NA,NA,NA,NA
1978,"Alt.2a",NA,NA,NA,NA,NA,NA
1978,"Alt.2b",NA,NA,NA,NA,NA,NA
1979,"No.Act",17000,"1979-06-19",FALSE,NA,"1979-06-16","1979-06-16"
1979,"Alt1",17000,"1979-06-18",FALSE,NA,"1979-06-15","1979-06-15"
1979,"Alt.1a",NA,NA,NA,NA,NA,NA
1979,"Alt.1b",NA,NA,NA,NA,NA,NA
1979,"Alt.2",17000,"1979-06-19",FALSE,NA,"1979-06-16","1979-06-16"
1979,"Alt.2a",17000,"1979-06-19",FALSE,NA,"1979-06-16","1979-06-16"
1979,"Alt.2b",17000,"1979-06-19",FALSE,NA,"1979-06-16","1979-06-16"
1980,"No.Act",NA,NA,NA,NA,NA,NA
1980,"Alt1",25800,"1980-06-12",TRUE,NA,"1980-06-14","1980-06-09"
1980,"Alt.1a",24300,"1980-06-04",TRUE,NA,NA,"1980-06-07"
1980,"Alt.1b",26000,"1980-06-19",TRUE,"1980-06-25","1980-06-16","1980-06-16"
1980,"Alt.2",28500,"1980-06-11",TRUE,NA,"1980-06-14","1980-06-08"
1980,"Alt.2a",27265.5126024224,"1980-06-04",TRUE,NA,NA,"1980-06-07"
1980,"Alt.2b",28700,"1980-06-18",TRUE,"1980-06-25","1980-06-15","1980-06-15"
1981,"No.Act",NA,NA,NA,NA,NA,NA
1981,"Alt1",NA,NA,NA,NA,NA,NA
1981,"Alt.1a",NA,NA,NA,NA,NA,NA
1981,"Alt.1b",NA,NA,NA,NA,NA,NA
1981,"Alt.2",NA,NA,NA,NA,NA,NA
1981,"Alt.2a",NA,NA,NA,NA,NA,NA
1981,"Alt.2b",NA,NA,NA,NA,NA,NA
1982,"No.Act",NA,NA,NA,NA,NA,NA
1982,"Alt1",17100,"1982-06-11",FALSE,NA,NA,"1982-06-08"
1982,"Alt.1a",21300,"1982-06-04",FALSE,NA,NA,NA
1982,"Alt.1b",18600,"1982-06-14",FALSE,NA,NA,"1982-06-11"
1982,"Alt.2",23200,"1982-06-11",TRUE,NA,NA,"1982-06-08"
1982,"Alt.2a",24573.779942649,"1982-06-04",TRUE,NA,NA,NA
1982,"Alt.2b",22200,"1982-06-14",FALSE,NA,NA,"1982-06-11"
1983,"No.Act",NA,NA,NA,NA,NA,NA
1983,"Alt1",32900,"1983-06-14",TRUE,NA,"1983-06-14","1983-06-11"
1983,"Alt.1a",24000,"1983-06-04",TRUE,NA,NA,"1983-06-07"
1983,"Alt.1b",32700,"1983-06-21",TRUE,NA,"1983-06-18","1983-06-18"
1983,"Alt.2",28800,"1983-06-11",TRUE,NA,"1983-06-14","1983-06-08"
1983,"Alt.2a",28200,"1983-06-04",TRUE,NA,NA,NA
1983,"Alt.2b",29200,"1983-06-18",TRUE,NA,"1983-06-15","1983-06-13"
1984,"No.Act",NA,NA,NA,NA,NA,NA
1984,"Alt1",28900,"1984-06-10",TRUE,NA,NA,"1984-06-07"
1984,"Alt.1a",24600,"1984-06-04",TRUE,NA,NA,"1984-06-07"
