"V1","V2","V3","V4","V5"
0.0477834470178725,-0.348604937969954,-0.0655526770369618,-0.08814254297527,-0.131739343348424
-0.106107130877901,-0.0697513919688156,-0.0568696898707474,-0.079877216772898,-0.109754134768716
-0.0920562029204468,-0.0673157822706841,-0.483856533713565,-0.201182435107108,-0.0930936204384681
-0.0816760186107718,-0.0657130077274506,-0.0633941216978346,-0.0782807674880662,-0.0834703435017718
-0.0754745977576014,-0.0643189928452572,-0.0617880202201908,-0.0695026026297023,-0.0766531600405437
0.0266382312903389,-0.063455648230848,-0.0627020242604656,-0.067265461761478,-0.0727517870287307
-0.0960142037161631,-0.0626496258275571,-0.0623590605370127,-0.0653120539125177,-0.069716239194813
-0.220395718590292,-0.0622586182864732,-0.0960766045745249,-0.0640999139413308,-0.858766538423735
-0.362242219558176,-0.0618754037180875,-0.0621666196974736,-0.062966288547077,-0.0703249411991379
-0.0812437382174864,-0.206273510837642,-0.556022791821912,-0.0624157806541653,-0.0672760427539934
-0.0748972780188582,-0.122345146681119,-0.0621051112436018,-0.0618761505400367,0.0511205900657464
-0.071030443896265,-0.0969530185805984,-0.0620259495978944,-0.0764558857227861,-0.0973722507953263
-0.0681429696089275,-0.0845024534785568,-0.0619746140111022,-0.0618757141566962,-0.0852525455373561
-0.898942017963576,-0.326689358845105,-0.0619305750202843,-0.0618755556348885,-0.0763083986234638
-0.0751610755728716,-0.0754773744879024,-0.0619058815817488,-0.0618754788684285,-0.0717185619572564
-0.125323441434561,0.0529799588586023,-0.0618845026611192,0.0562751117465943,-0.0674320019009278
-0.105141048059372,-0.10500450890857,-0.0618800487591112,-0.0992971150879122,-0.067036271490011
-0.0857909338735539,-0.550718432642831,-0.0618778280917832,-0.0868146398623548,-0.29316342928579
-0.0818542959746793,-0.0922350235147903,0.0549958847374081,-0.0778277200217791,-0.123429256516661
-0.075188562426264,-0.0826535398802956,-0.0961708950211856,-0.0727687211150861,-0.547417393978483
-0.0715586309167342,-0.0382183958261557,-0.0846708703469848,-0.0692667065454542,-0.11173703297381
-0.06881987590594,-0.0813490333446182,-0.076430635456226,0.0883511130500493,-0.0966504396167402
-0.0666354579814543,0.0574996331167063,-0.0718029526300469,-0.113079345751697,-0.085637161070742
-0.0652358682487703,-0.124897887068378,-0.0685341972936249,-0.096465496456601,-0.0791946892746274
-0.0640254106188604,-0.0944728068962921,-0.0668148000420123,-0.0785037336000045,-0.074141115428312
